Année,Marque,Modèle,Catégorie de,Moteur,Cylindrée,Cylindres,Transmission,Type de,Consommation,Autonomie 1,Temps de,Type de,Consommation,,,Autonomie 2,Émissions de,Indice,Indice
modèle,,,véhicule,(kW),(L),,,carburant 1,Combinée Le/100 km,(km),recharge (h),carburant 2,Ville (L/100 km),Route (L/100 km),Comb (L/100 km),(km),CO2 (g/km),de CO2,de smog
2020,BMW,i8 Coupe,Sous-compacte,105,1.5,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3
2020,BMW,i8 Roadster,Deux places,105,1.5,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3
2020,BMW,X3 xDrive30e,VUS : petit,80,2.0,4,AS8,B/Z*,3.9 ([35.0 kWh + 0.0 L]/100 km),29,3,Z,11.0,8.6,9.9,512,127,9,7
2020,Chrysler,Pacifica Hybrid,Fourgonnette,89,3.6,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8.0,7.9,8.0,784,74,10,7
2020,Ford,Escape Plug-in Hybrid,VUS : petit,62,2.5,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),60,3.3,X,5.4,6.2,5.8,790,48,10,7
2020,Ford,Fusion Energi,Intermédiaire,35,2.0,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),42,2.6,X,5.5,5.8,5.6,940,61,10,7
2020,Honda,Clarity Plug-in Hybrid,Intermédiaire,135,1.5,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2.5,X,5.3,5.9,5.6,475,36,10,8
2020,Hyundai,IONIQ Electric Plus,Intermédiaire,45,1.6,4,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2.3,X,4.4,4.6,4.5,961,46,10,7
2020,Kia,Niro Plug-in Hybrid,Familiale : petite,45,1.6,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2.25,X,4.9,5.3,5.1,853,56,10,7
2020,Kia,Optima Plug-in Hybrid,Intermédiaire,50,2.0,4,AM6,B/X*,2.3 ([20.7 kWh + 0.0 L]/100 km),45,2.7,X,6.0,5.3,5.7,962,60,10,7
