ANNÉE,MARQUE,MODÈLE,CATÉGORIE DE,CYLINDRÉE,CYLINDRES,TRANSMISSION,TYPE DE,CONSOMMATION DE CARBURANT,,,,ÉMISSIONS DE CO2,INDICE,,,
MODÈLE,,,VÉHICULE,(L),,,CARBURANT,VILLE (L/100 km),ROUTE (L/100 km),COMB (L/100 km),COMB (mi/gal),(g/km),DE CO2,,,
2016,AUDI,S4 QUATTRO,COMPACTE,3.0,6,AM7,Z,13.0,8.5,11.0,26,257,5,,,
2016,AUDI,S4 QUATTRO,COMPACTE,3.0,6,M6,Z,13.8,9.0,11.7,24,273,4,,,
2016,AUDI,S5 QUATTRO,SOUS-COMPACTE,3.0,6,AM7,Z,13.0,8.5,11.0,26,257,5,,,
2016,AUDI,S5 QUATTRO,SOUS-COMPACTE,3.0,6,M6,Z,13.8,9.0,11.7,24,273,4,,,
2016,AUDI,S5 CABRIOLET QUATTRO,SOUS-COMPACTE,3.0,6,AM7,Z,13.3,9.1,11.4,25,266,5,,,
2016,AUDI,S6 QUATTRO,INTERMÉDIAIRE,4.0,8,AM7,Z,13.3,8.8,11.3,25,263,5,,,
2016,AUDI,S7 QUATTRO,INTERMÉDIAIRE,4.0,8,AM7,Z,13.4,8.8,11.4,25,265,5,,,
2016,AUDI,S8 QUATTRO,INTERMÉDIAIRE,4.0,8,AS8,Z,15.7,9.4,12.8,22,300,4,,,
2016,AUDI,SQ5 QUATTRO,VUS - PETIT,3.0,6,AS8,Z,14.1,9.9,12.2,23,285,4,,,
2016,AUDI,TT COUPE QUATTRO,SOUS-COMPACTE,2.0,4,AM6,X,10.1,7.8,9.1,31,209,6,,,
2016,AUDI,TT ROADSTER QUATTRO,DEUX PLACES,2.0,4,AM6,X,10.1,7.8,9.1,31,209,6,,,
2016,AUDI,TTS COUPE QUATTRO,SOUS-COMPACTE,2.0,4,AM6,Z,10.3,8.6,9.5,30,222,6,,,
2016,BENTLEY,CONTINENTAL GT,COMPACTE,4.0,8,AS8,Z,16.1,9.4,13.1,22,307,4,,,
2016,BENTLEY,CONTINENTAL GT,COMPACTE,6.0,12,AS8,Z,18.9,11.2,15.4,18,360,2,,,
2016,BENTLEY,CONTINENTAL GT CONVERTIBLE,SOUS-COMPACTE,4.0,8,AS8,Z,17.7,10.3,14.4,20,337,3,,,
2016,BENTLEY,CONTINENTAL GT CONVERTIBLE,SOUS-COMPACTE,6.0,12,AS8,Z,19.6,11.7,16.0,18,375,2,,,
2016,BENTLEY,FLYING SPUR,INTERMÉDIAIRE,4.0,8,AS8,Z,17.7,10.0,14.2,20,334,3,,,
2016,BENTLEY,FLYING SPUR,INTERMÉDIAIRE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388,2,,,
2016,BENTLEY,MULSANNE,INTERMÉDIAIRE,6.8,8,AS8,Z,21.0,13.1,17.5,16,408,2,,,
2016,BMW,228i,SOUS-COMPACTE,2.0,4,AS8,Z,9.9,6.5,8.4,34,197,7,,,
2016,BMW,228i,SOUS-COMPACTE,2.0,4,M6,Z,10.7,7.0,9.0,31,211,6,,,
2016,BMW,228i xDRIVE,SOUS-COMPACTE,2.0,4,AS8,Z,10.4,6.8,8.8,32,207,6,,,
2016,BMW,228i xDRIVE CABRIOLET,SOUS-COMPACTE,2.0,4,AS8,Z,10.5,6.9,8.9,32,209,6,,,
2016,BMW,320i,COMPACTE,2.0,4,AS8,Z,9.9,6.5,8.4,34,197,7,,,
2016,BMW,320i,COMPACTE,2.0,4,M6,Z,10.7,7.0,9.0,31,211,6,,,
2016,BMW,320i xDRIVE,COMPACTE,2.0,4,AS8,Z,10.4,6.8,8.8,32,207,6,,,
2016,BMW,328d xDRIVE,COMPACTE,2.0,4,AS8,D,7.7,5.7,6.8,42,183,7,,,
2016,BMW,328d xDRIVE TOURING,FAMILIALE - PETITE,2.0,4,AS8,D,7.7,5.7,6.8,42,183,7,,,
2016,BMW,328i xDRIVE,COMPACTE,2.0,4,AS8,Z,10.5,6.9,8.9,32,209,6,,,
2016,BMW,328i xDRIVE GRAN TURISMO,GRANDE BERLINE,2.0,4,AS8,Z,10.5,6.9,8.9,32,209,6,,,
2016,BMW,328i xDRIVE TOURING,FAMILIALE - PETITE,2.0,4,AS8,Z,10.5,6.9,8.9,32,209,6,,,
2016,BMW,335i xDRIVE GRAN TURISMO,GRANDE BERLINE,3.0,6,AS8,Z,12.0,7.9,10.2,28,238,5,,,
2016,BMW,340i,COMPACTE,3.0,6,AS8,Z,10.9,7.2,9.3,30,217,6,,,
2016,BMW,340i,COMPACTE,3.0,6,M6,Z,11.6,7.8,9.9,29,231,5,,,
2016,BMW,340i xDRIVE,COMPACTE,3.0,6,AS8,Z,10.9,7.3,9.3,30,216,6,,,
2016,BMW,340i xDRIVE,COMPACTE,3.0,6,M6,Z,11.9,8.3,10.3,27,241,5,,,
2016,BMW,428i CABRIOLET,SOUS-COMPACTE,2.0,4,AS8,Z,10.8,6.7,8.9,32,211,6,,,
2016,BMW,428i COUPE,COMPACTE,2.0,4,AS8,Z,9.9,6.5,8.4,34,197,7,,,
2016,BMW,428i COUPE,COMPACTE,2.0,4,M6,Z,10.7,7.0,9.0,31,211,6,,,
2016,BMW,428i GRAN COUPE,COMPACTE,2.0,4,AS8,Z,10.8,6.7,8.9,32,211,6,,,
2016,BMW,428i GRAN COUPE,COMPACTE,2.0,4,M6,Z,10.9,6.8,9.0,31,210,6,,,
2016,BMW,428i xDRIVE CABRIOLET,SOUS-COMPACTE,2.0,4,AS8,Z,11.3,7.1,9.4,30,221,6,,,
2016,BMW,428i xDRIVE COUPE,COMPACTE,2.0,4,AS8,Z,10.5,6.9,8.9,32,209,6,,,
2016,BMW,428i xDRIVE GRAN COUPE,COMPACTE,2.0,4,AS8,Z,10.5,6.9,8.9,32,209,6,,,
2016,BMW,435i CABRIOLET,SOUS-COMPACTE,3.0,6,AS8,Z,11.8,7.6,9.9,29,232,5,,,
2016,BMW,435i COUPE,COMPACTE,3.0,6,AS8,Z,11.6,7.7,9.9,29,232,5,,,
2016,BMW,435i COUPE,COMPACTE,3.0,6,M6,Z,12.1,8.4,10.5,27,246,5,,,
2016,BMW,435i xDRIVE CABRIOLET,SOUS-COMPACTE,3.0,6,AS8,Z,11.9,8.1,10.2,28,238,5,,,
2016,BMW,435i xDRIVE COUPE,COMPACTE,3.0,6,AS8,Z,12.0,7.9,10.2,28,238,5,,,
2016,BMW,435i xDRIVE COUPE,COMPACTE,3.0,6,M6,Z,12.3,8.4,10.5,27,247,5,,,
2016,BMW,435i xDRIVE GRAN COUPE,COMPACTE,3.0,6,AS8,Z,12.0,7.9,10.2,28,238,5,,,
2016,BMW,528i xDRIVE,INTERMÉDIAIRE,2.0,4,AS8,Z,10.5,6.9,8.9,32,209,6,,,
2016,BMW,535d xDRIVE,INTERMÉDIAIRE,3.0,6,AS8,D,9.2,6.3,7.9,36,212,6,,,
2016,BMW,535i xDRIVE,INTERMÉDIAIRE,3.0,6,AS8,Z,11.9,8.1,10.2,28,238,5,,,
2016,BMW,535i xDRIVE GRAN TURISMO,GRANDE BERLINE,3.0,6,AS8,Z,13.0,9.1,11.2,25,263,5,,,
2016,BMW,550i xDRIVE,INTERMÉDIAIRE,4.4,8,AS8,Z,14.4,9.6,12.3,23,288,4,,,
2016,BMW,550i xDRIVE GRAN TURISMO,GRANDE BERLINE,4.4,8,AS8,Z,14.3,9.3,12.1,23,283,4,,,
2016,BMW,640i xDRIVE CABRIOLET,SOUS-COMPACTE,3.0,6,AS8,Z,11.9,8.1,10.2,28,238,5,,,
2016,BMW,640i xDRIVE GRAN COUPE,COMPACTE,3.0,6,AS8,Z,11.9,8.1,10.2,28,238,5,,,
2016,BMW,650i xDRIVE CABRIOLET,SOUS-COMPACTE,4.4,8,AS8,Z,14.3,9.3,12.1,23,283,4,,,
2016,BMW,650i xDRIVE COUPE,COMPACTE,4.4,8,AS8,Z,14.4,9.6,12.3,23,288,4,,,
2016,BMW,650i xDRIVE GRAN COUPE,COMPACTE,4.4,8,AS8,Z,14.3,9.3,12.1,23,283,4,,,
2016,BMW,750i xDRIVE,GRANDE BERLINE,4.4,8,AS8,Z,14.3,9.3,12.1,23,283,4,,,
2016,BMW,750Li xDRIVE,GRANDE BERLINE,4.4,8,AS8,Z,14.3,9.3,12.1,23,283,4,,,
2016,BMW,ACTIVEHYBRID 5,INTERMÉDIAIRE,3.0,6,AS8,Z,10.6,7.9,9.4,30,219,6,,,
2016,BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACTE,4.4,8,AS8,Z,14.3,9.3,12.1,23,283,4,,,
2016,BMW,M2,SOUS-COMPACTE,3.0,6,AM7,Z,11.8,8.8,10.4,27,244,5,,,
2016,BMW,M2,SOUS-COMPACTE,3.0,6,M6,Z,12.7,9.2,11.1,25,260,5,,,
2016,BMW,M235i,SOUS-COMPACTE,3.0,6,AS8,Z,11.6,7.7,9.9,29,232,5,,,
2016,BMW,M235i,SOUS-COMPACTE,3.0,6,M6,Z,11.9,8.6,10.4,27,245,5,,,
2016,BMW,M235i CABRIOLET,SOUS-COMPACTE,3.0,6,AS8,Z,11.6,7.7,9.9,29,232,5,,,
2016,BMW,M235i CABRIOLET,SOUS-COMPACTE,3.0,6,M6,Z,12.1,8.4,10.5,27,246,5,,,
2016,BMW,M235i xDRIVE,SOUS-COMPACTE,3.0,6,AS8,Z,12.0,7.9,10.2,28,238,5,,,
