ANNÉE,MARQUE,MODÈLE,CATÉGORIE DE,CYLINDRÉE,CYLINDRES,TRANSMISSION,TYPE DE,CONSOMMATION DE CARBURANT*,,,,ÉMISSIONS DE CO2,,,,
MODÈLE,,,VÉHICULE,(L),,,CARBURANT,VILLE (L/100 km),ROUTE (L/100 km),COMB (L/100 km),COMB (mi/gal),(g/km),,,,
2015,AUDI,Q5 HYBRID,VUS - PETIT,2.0,4,AS8,Z,9.8,7.9,8.9,32,205,,,,
2015,AUDI,Q7,VUS - ORDINAIRE,3.0,6,AS8,Z,15.2,11.0,13.3,21,306,,,,
2015,AUDI,Q7 TDI (modifié),VUS - ORDINAIRE,3.0,6,AS8,D,12.4,8.7,10.7,26,290,,,,
2015,AUDI,R8,DEUX PLACES,4.2,8,AM7,Z,17.3,10.4,14.2,20,327,,,,
2015,AUDI,R8,DEUX PLACES,4.2,8,M6,Z,20.5,11.7,16.6,17,382,,,,
2015,AUDI,R8,DEUX PLACES,5.2,10,AM7,Z,18.2,10.6,14.8,19,347,,,,
2015,AUDI,R8,DEUX PLACES,5.2,10,M6,Z,19.9,12.0,16.4,17,377,,,,
2015,AUDI,R8 SPYDER,DEUX PLACES,4.2,8,AM7,Z,17.3,10.4,14.2,20,327,,,,
2015,AUDI,R8 SPYDER,DEUX PLACES,4.2,8,M6,Z,20.5,11.7,16.6,17,382,,,,
2015,AUDI,R8 SPYDER,DEUX PLACES,5.2,10,AM7,Z,18.2,10.6,14.8,19,347,,,,
2015,AUDI,R8 SPYDER,DEUX PLACES,5.2,10,M6,Z,19.9,12.0,16.4,17,377,,,,
2015,AUDI,RS5,SOUS-COMPACTE,4.2,8,AM7,Z,14.9,10.1,12.8,22,294,,,,
2015,AUDI,RS5 CABRIOLET,SOUS-COMPACTE,4.2,8,AM7,Z,14.8,10.6,12.9,22,297,,,,
2015,AUDI,RS 7,INTERMÉDIAIRE,4.0,8,AS8,Z,16.6,9.4,13.3,21,313,,,,
2015,AUDI,S3,SOUS-COMPACTE,2.0,4,AM6,Z,10.1,7.7,9.0,31,207,,,,
2015,AUDI,S4,COMPACTE,3.0,6,AM7,Z,13.0,8.5,11.0,26,253,,,,
2015,AUDI,S4,COMPACTE,3.0,6,M6,Z,13.8,9.0,11.7,24,269,,,,
2015,AUDI,S5,SOUS-COMPACTE,3.0,6,AM7,Z,13.0,8.5,11.0,26,253,,,,
2015,AUDI,S5,SOUS-COMPACTE,3.0,6,M6,Z,13.8,9.0,11.7,24,269,,,,
2015,AUDI,S5 CABRIOLET,SOUS-COMPACTE,3.0,6,AM7,Z,13.3,9.1,11.4,25,262,,,,
2015,AUDI,S6,INTERMÉDIAIRE,4.0,8,AM7,Z,14.0,8.7,11.7,24,269,,,,
2015,AUDI,S7,INTERMÉDIAIRE,4.0,8,AM7,Z,14.0,8.7,11.7,24,269,,,,
2015,AUDI,S8,INTERMÉDIAIRE,4.0,8,AS8,Z,14.6,8.8,11.9,24,281,,,,
2015,AUDI,SQ5,VUS - PETIT,3.0,6,AS8,Z,14.1,9.9,12.2,23,281,,,,
2015,AUDI,TT COUPE QUATTRO,SOUS-COMPACTE,2.0,4,AM6,Z,10.4,7.6,9.1,31,209,,,,
2015,AUDI,TT ROADSTER QUATTRO,DEUX PLACES,2.0,4,AM6,Z,10.4,7.7,9.2,31,212,,,,
2015,AUDI,TTS COUPE QUATTRO,SOUS-COMPACTE,2.0,4,AM6,Z,11.7,8.4,10.2,28,235,,,,
2015,AUDI,TTS ROADSTER QUATTRO,DEUX PLACES,2.0,4,AM6,Z,11.7,8.5,10.2,28,235,,,,
2015,BENTLEY,CONTINENTAL GT,COMPACTE,4.0,8,AS8,Z,16.1,9.4,13.1,22,307,,,,
2015,BENTLEY,CONTINENTAL GT,COMPACTE,6.0,12,AS8,Z,18.9,11.2,15.4,18,354,,,,
2015,BENTLEY,CONTINENTAL GT CONVERTIBLE,SOUS-COMPACTE,4.0,8,AS8,Z,17.7,10.3,14.4,20,337,,,,
2015,BENTLEY,CONTINENTAL GT CONVERTIBLE,SOUS-COMPACTE,6.0,12,AS8,Z,19.6,11.7,16.0,18,368,,,,
2015,BENTLEY,CONTINENTAL GT3-R,DEUX PLACES,4.0,8,AS8,Z,17.6,10.1,14.2,20,327,,,,
2015,BENTLEY,FLYING SPUR,INTERMÉDIAIRE,4.0,8,AS8,Z,17.7,10.0,14.2,20,334,,,,
2015,BENTLEY,FLYING SPUR,INTERMÉDIAIRE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388,,,,
2015,BENTLEY,MULSANNE,INTERMÉDIAIRE,6.8,8,AS8,Z,22.3,13.3,18.2,16,419,,,,
2015,BMW,228i CABRIOLET,SOUS-COMPACTE,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,,,,
2015,BMW,228i COUPE,SOUS-COMPACTE,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,,,,
2015,BMW,228i COUPE,SOUS-COMPACTE,2.0,4,M6,Z,10.7,6.9,9.0,31,207,,,,
2015,BMW,228i xDRIVE CABRIOLET,SOUS-COMPACTE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,228i xDRIVE COUPE,SOUS-COMPACTE,2.0,4,AS8,Z,10.3,6.7,8.7,32,200,,,,
2015,BMW,320i SEDAN,COMPACTE,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,,,,
2015,BMW,320i SEDAN,COMPACTE,2.0,4,M6,Z,10.7,6.9,9.0,31,207,,,,
2015,BMW,320i xDRIVE SEDAN,COMPACTE,2.0,4,AS8,Z,10.3,6.7,8.7,32,200,,,,
2015,BMW,328d xDRIVE SEDAN,COMPACTE,2.0,4,AS8,D,7.6,5.5,6.7,42,181,,,,
2015,BMW,328d xDRIVE TOURING,FAMILIALE - PETITE,2.0,4,AS8,D,7.6,5.5,6.7,42,181,,,,
2015,BMW,328i SEDAN,COMPACTE,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,,,,
2015,BMW,328i SEDAN,COMPACTE,2.0,4,M6,Z,10.7,6.9,9.0,31,207,,,,
2015,BMW,328i xDRIVE SEDAN,COMPACTE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,328i xDRIVE GRAN TURISMO,GRANDE BERLINE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,328i xDRIVE TOURING,FAMILIALE - PETITE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,335i SEDAN,COMPACTE,3.0,6,AS8,Z,11.4,7.4,9.6,29,221,,,,
2015,BMW,335i SEDAN,COMPACTE,3.0,6,M6,Z,11.5,7.8,9.8,29,225,,,,
2015,BMW,335i xDRIVE SEDAN,COMPACTE,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,,,,
2015,BMW,335i xDRIVE SEDAN,COMPACTE,3.0,6,M6,Z,12.0,8.3,10.3,27,237,,,,
2015,BMW,335i xDRIVE GRAN TURISMO,GRANDE BERLINE,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,,,,
2015,BMW,428i CABRIOLET,SOUS-COMPACTE,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,,,,
2015,BMW,428i COUPE,COMPACTE,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,,,,
2015,BMW,428i COUPE,COMPACTE,2.0,4,M6,Z,10.7,6.9,9.0,31,207,,,,
2015,BMW,428i GRAN COUPE,COMPACTE,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,,,,
2015,BMW,428i GRAN COUPE,COMPACTE,2.0,4,M6,Z,10.9,6.8,9.0,31,207,,,,
2015,BMW,428i xDRIVE CABRIOLET,SOUS-COMPACTE,2.0,4,AS8,Z,11.2,7.5,9.6,29,221,,,,
2015,BMW,428i xDRIVE COUPE,COMPACTE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,428i xDRIVE GRAN COUPE,COMPACTE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,435i CABRIOLET,SOUS-COMPACTE,3.0,6,AS8,Z,11.8,7.6,9.9,29,228,,,,
2015,BMW,435i COUPE,COMPACTE,3.0,6,AS8,Z,11.4,7.4,9.6,29,221,,,,
2015,BMW,435i COUPE,COMPACTE,3.0,6,M6,Z,11.5,7.8,9.8,29,225,,,,
2015,BMW,435i GRAN COUPE,COMPACTE,3.0,6,AS8,Z,11.4,7.4,9.6,29,221,,,,
2015,BMW,435i xDRIVE CABRIOLET,SOUS-COMPACTE,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,,,,
2015,BMW,435i xDRIVE COUPE,COMPACTE,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,,,,
2015,BMW,435i xDRIVE COUPE,COMPACTE,3.0,6,M6,Z,12.0,8.3,10.3,27,237,,,,
2015,BMW,435i xDRIVE GRAN COUPE,COMPACTE,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,,,,
2015,BMW,528i SEDAN,INTERMÉDIAIRE,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,,,,
2015,BMW,528i xDRIVE SEDAN,INTERMÉDIAIRE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,535d xDRIVE SEDAN,INTERMÉDIAIRE,3.0,6,AS8,D,9.2,6.3,7.9,36,213,,,,
2015,BMW,535i xDRIVE SEDAN,INTERMÉDIAIRE,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,,,,
2015,BMW,535i xDRIVE GRAN TURISMO,GRANDE BERLINE,3.0,6,AS8,Z,12.8,8.9,11.0,26,253,,,,
2015,BMW,550i xDRIVE SEDAN,INTERMÉDIAIRE,4.4,8,AS8,Z,14.4,9.7,12.3,23,283,,,,
2015,BMW,550i xDRIVE GRAN TURISMO,GRANDE BERLINE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,640i xDRIVE CABRIOLET,SOUS-COMPACTE,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,,,,
2015,BMW,640i xDRIVE GRAN COUPE,COMPACTE,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,,,,
2015,BMW,650i xDRIVE CABRIOLET,SOUS-COMPACTE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,650i xDRIVE COUPE,COMPACTE,4.4,8,AS8,Z,14.4,9.7,12.3,23,283,,,,
2015,BMW,650i xDRIVE GRAN COUPE,COMPACTE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,740Ld xDRIVE SEDAN,GRANDE BERLINE,3.0,6,AS8,D,10.2,7.1,8.8,32,238,,,,
