ANNÉE,MARQUE,MODÈLE,CATÉGORIE DE,CYLINDRÉE,CYLINDRES,TRANSMISSION,TYPE DE,CONSOMMATION DE CARBURANT*,,,,ÉMISSIONS DE CO2,,
MODÈLE,,,VÉHICULE,(L),,,CARBURANT,VILLE (L/100 km),ROUTE (L/100 km),COMB (L/100 km),COMB (mi/gal),(g/km),,
2005,CHEVROLET,CAVALIER,COMPACTE,2.2,4,M5,X,10.8,7.2,9.2,31,212,,
2005,CHEVROLET,COBALT,SOUS-COMPACTE,2.2,4,A4,X,11.3,7.9,9.8,29,225,,
2005,CHEVROLET,COBALT,SOUS-COMPACTE,2.2,4,M5,X,10.9,7.3,9.3,30,214,,
2005,CHEVROLET,COBALT #,SOUS-COMPACTE,2.0,4,M5,Z,11.6,8.8,10.3,27,237,,
2005,CHEVROLET,COLORADO,CAMIONNETTE - ORDINAIRE,2.8,4,A4,X,14.9,10.3,12.8,22,294,,
2005,CHEVROLET,COLORADO,CAMIONNETTE - ORDINAIRE,2.8,4,M5,X,13.8,9.8,12.0,24,276,,
2005,CHEVROLET,COLORADO,CAMIONNETTE - ORDINAIRE,3.5,5,A4,X,14.5,10.9,12.8,22,294,,
2005,CHEVROLET,COLORADO,CAMIONNETTE - ORDINAIRE,3.5,5,M5,X,14.6,10.2,12.6,22,290,,
2005,CHEVROLET,COLORADO 4X4,CAMIONNETTE - ORDINAIRE,2.8,4,A4,X,15.2,11.1,13.4,21,308,,
2005,CHEVROLET,COLORADO 4X4,CAMIONNETTE - ORDINAIRE,2.8,4,M5,X,14.9,11.0,13.1,22,301,,
2005,CHEVROLET,COLORADO 4X4,CAMIONNETTE - ORDINAIRE,3.5,5,A4,X,15.2,11.4,13.5,21,311,,
2005,CHEVROLET,COLORADO 4X4,CAMIONNETTE - ORDINAIRE,3.5,5,M5,X,14.9,11.0,13.1,22,301,,
2005,CHEVROLET,CORVETTE,DEUX PLACES,6.0,8,A4,Z,14.4,9.6,12.2,23,281,,
2005,CHEVROLET,CORVETTE,DEUX PLACES,6.0,8,M6,Z,14.8,9.0,12.2,23,281,,
2005,CHEVROLET,EPICA,INTERMÉDIAIRE,2.5,6,A4,X,13.1,9.3,11.4,25,262,,
2005,CHEVROLET,EQUINOX,VUS,3.4,6,A5,X,14.3,10.2,12.4,23,285,,
2005,CHEVROLET,EQUINOX AWD,VUS,3.4,6,A5,X,14.3,10.2,12.4,23,285,,
2005,CHEVROLET,G15 EXPRESS PASSENGER,FOURGON - PASSAGER,4.3,6,A4,X,18.4,14.2,16.5,17,380,,
2005,CHEVROLET,G15 EXPRESS PASSENGER,FOURGON - PASSAGER,5.3,8,A4,X,18.2,13.5,16.1,18,370,,
2005,CHEVROLET,G15/25 EXPRESS CARGO,FOURGON - CARGAISON,4.3,6,A4,X,18.2,13.8,16.2,17,373,,
2005,CHEVROLET,G15/25 EXPRESS CARGO,FOURGON - CARGAISON,5.3,8,A4,X,18.0,13.6,16.0,18,368,,
2005,CHEVROLET,H15 EXPRESS PASSENGER AWD,FOURGON - PASSAGER,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2005,CHEVROLET,H15/25 EXPRESS CARGO AWD,FOURGON - CARGAISON,5.3,8,A4,X,18.1,14.2,16.3,17,375,,
2005,CHEVROLET,IMPALA,GRANDE BERLINE,3.4,6,A4,X,12.6,8.1,10.6,27,244,,
2005,CHEVROLET,IMPALA,GRANDE BERLINE,3.8,6,A4,X,13.4,8.7,11.3,25,260,,
2005,CHEVROLET,IMPALA #,GRANDE BERLINE,3.8,6,A4,Z,15.0,9.7,12.6,22,290,,
2005,CHEVROLET,K1500 AVALANCHE 4X4,CAMIONNETTE - ORDINAIRE,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2005,CHEVROLET,K1500 AVALANCHE 4X4 FFV,CAMIONNETTE - ORDINAIRE,5.3,8,A4,X,19.8,15.5,17.9,16,412,,
2005,CHEVROLET,K1500 AVALANCHE 4X4 FFV,CAMIONNETTE - ORDINAIRE,5.3,8,A4,E,26.3,20.8,23.8,12,381,,
2005,CHEVROLET,K1500 SILVERADO 4X4,CAMIONNETTE - ORDINAIRE,4.3,6,A4,X,19.1,14.7,17.2,16,396,,
2005,CHEVROLET,K1500 SILVERADO 4X4,CAMIONNETTE - ORDINAIRE,4.3,6,M5,X,17.7,13.0,15.6,18,359,,
2005,CHEVROLET,K1500 SILVERADO 4X4,CAMIONNETTE - ORDINAIRE,4.8,8,A4,X,16.8,13.0,15.1,19,347,,
2005,CHEVROLET,K1500 SILVERADO 4X4,CAMIONNETTE - ORDINAIRE,4.8,8,M5,X,18.5,13.3,16.1,18,370,,
2005,CHEVROLET,K1500 SILVERADO 4X4,CAMIONNETTE - ORDINAIRE,5.3,8,A4,X,17.6,13.6,15.8,18,363,,
2005,CHEVROLET,K1500 SILVERADO 4X4 FFV,CAMIONNETTE - ORDINAIRE,5.3,8,A4,X,18.3,14.2,16.4,17,377,,
2005,CHEVROLET,K1500 SILVERADO 4X4 FFV,CAMIONNETTE - ORDINAIRE,5.3,8,A4,E,23.2,18.0,20.8,14,333,,
2005,CHEVROLET,K1500 SILVERADO HYBRID 4X4,CAMIONNETTE - ORDINAIRE,5.3,8,A4,X,16.0,13.3,14.7,19,338,,
2005,CHEVROLET,K1500 SILVERADO SS AWD,CAMIONNETTE - ORDINAIRE,6.0,8,A4,Z,21.9,17.3,19.8,14,455,,
2005,CHEVROLET,K1500 SUBURBAN 4X4,VUS,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2005,CHEVROLET,K1500 SUBURBAN 4X4 FFV,VUS,5.3,8,A4,X,19.8,15.5,17.9,16,412,,
2005,CHEVROLET,K1500 SUBURBAN 4X4 FFV,VUS,5.3,8,A4,E,26.3,20.8,23.8,12,381,,
2005,CHEVROLET,K1500 SUBURBAN AWD,VUS,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2005,CHEVROLET,K1500 SUBURBAN AWD FFV,VUS,5.3,8,A4,X,19.8,15.5,17.9,16,412,,
2005,CHEVROLET,K1500 SUBURBAN AWD FFV,VUS,5.3,8,A4,E,26.3,20.8,23.8,12,381,,
2005,CHEVROLET,K1500 TAHOE 4X4,VUS,4.8,8,A4,X,17.0,13.0,15.2,19,350,,
2005,CHEVROLET,K1500 TAHOE 4X4,VUS,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2005,CHEVROLET,K1500 TAHOE 4X4 FFV,VUS,5.3,8,A4,X,19.8,15.5,17.9,16,412,,
2005,CHEVROLET,K1500 TAHOE 4X4 FFV,VUS,5.3,8,A4,E,26.3,20.8,23.8,12,381,,
2005,CHEVROLET,K1500 TAHOE AWD,VUS,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2005,CHEVROLET,K1500 TAHOE AWD FFV,VUS,5.3,8,A4,X,19.8,15.5,17.9,16,412,,
2005,CHEVROLET,K1500 TAHOE AWD FFV,VUS,5.3,8,A4,E,26.3,20.8,23.8,12,381,,
2005,CHEVROLET,MALIBU,INTERMÉDIAIRE,2.2,4,A4,X,11.2,7.9,9.7,29,223,,
